titre;realisateur;date_debut_evenement;date_fin_evenement;cadre;lieu;adresse;arrondissement;adresse_complete;geo_coordinates
MODERN LOVE;STEPHANE KAZANDJIAN;2007-03-14;2007-03-14;EXTERIEUR;RUE;DE L'ARBRE SEC;75001;RUE DE L'ARBRE SEC 75001 Paris France;48.860419, 2.342325
LE VOLEUR DE SOUVENIRS;VICKO RUIC;2007-02-20;2007-02-20;EXTERIEUR;AVENUE;ALBERT 1ER DE MONACO;75016;AVENUE ALBERT 1ER DE MONACO 75016 Paris France;48.861649, 2.289984
UN HOMME PERDU;DANIELLE ARBID;2007-02-25;2007-02-25;EXTERIEUR;RUE;DU CHATEAU D'EAU;75010;RUE DU CHATEAU D'EAU 75010 Paris France;48.870937, 2.358799
BLACK;PIERRE LAFFARGUE;2007-02-03;2007-02-03;EXTERIEUR;PLACE;DU CHATEAU ROUGE;75018;PLACE DU CHATEAU ROUGE 75018 Paris France;48.88745, 2.349827
BLACK;PIERRE LAFFARGUE;2007-03-03;2007-05-03;EXTERIEUR;PONT;RIQUET;75018;PONT RIQUET 75018 Paris France;48.888362, 2.374171
BLACK;PIERRE LAFFARGUE;2007-02-03;2007-02-03;EXTERIEUR;RUE;ORDENER;75018;RUE ORDENER 75018 Paris France;48.892184, 2.346226
UN CONTE DE NOEL;ARNAUD DESPLECHIN;2007-01-03;2007-01-03;EXTERIEUR;BOULEVARD;ARAGO;75014;BOULEVARD ARAGO 75014 Paris France;48.834624, 2.337211
LES DEUX MONDES;DANIEL COHEN;2007-05-03;2007-05-03;EXTERIEUR;BOULEVARD;BEAUMARCHAIS;75011;BOULEVARD BEAUMARCHAIS 75011 Paris France;48.856182, 2.368402
LES DEUX MONDES;DANIEL COHEN;2007-03-14;2007-03-14;EXTERIEUR;PLACE;DE LA BASTILLE;75011;PLACE DE LA BASTILLE 75011 Paris France;48.853393, 2.369439
LES DEUX MONDES;DANIEL COHEN;2007-03-19;2007-03-19;EXTERIEUR;RUE;SAINT BERNARD;75011;RUE SAINT BERNARD 75011 Paris France;48.851878, 2.381682
LE TUEUR;CEDRIC ANGER;2007-03-29;2007-03-30;EXTERIEUR;AVENUE;D'IVRY;75013;AVENUE D'IVRY 75013 Paris France;48.823777, 2.364813
LE TUEUR;CEDRIC ANGER;2007-05-03;2007-05-03;EXTERIEUR;AVENUE;DAUMESNIL;75012;AVENUE DAUMESNIL 75012 Paris France;48.837878, 2.400242
LE TUEUR;CEDRIC ANGER;2007-06-03;2007-06-03;EXTERIEUR;AVENUE;DES TERROIRS DE FRANCE;75012;AVENUE DES TERROIRS DE FRANCE 75012 Paris France;48.831748, 2.388208
LE TUEUR;CEDRIC ANGER;2007-08-03;2007-08-03;EXTERIEUR;COURS;DE VINCENNES;75012;COURS DE VINCENNES 75012 Paris France;48.84755, 2.404803
LE TUEUR;CEDRIC ANGER;2007-03-04;2007-03-04;EXTERIEUR;RUE;COGNACQ JAY;75007;RUE COGNACQ JAY 75007 Paris France;48.861819, 2.303395
LE TUEUR;CEDRIC ANGER;2007-04-04;2007-04-04;EXTERIEUR;RUE;COGNACQ JAY;75007;RUE COGNACQ JAY 75007 Paris France;48.861819, 2.303395
LE TUEUR;CEDRIC ANGER;2007-03-26;2007-03-27;EXTERIEUR;RUE;WATT;75013;RUE WATT 75013 Paris France;48.827533, 2.38118
TAKEN;PIERRE MOREL;2007-09-04;2007-09-04;EXTERIEUR;BOULEVARD;DE LA VILLETTE;75019;BOULEVARD DE LA VILLETTE 75019 Paris France;48.878449, 2.370422
TAKEN;PIERRE MOREL;2007-03-19;2007-03-20;EXTERIEUR;PORT;DE CLICHY;75017;PORT DE CLICHY 75017 Paris France;
TAKEN;PIERRE MOREL;2007-05-24;2007-05-24;EXTERIEUR;RUE;DE LA MONNAIE;75001;RUE DE LA MONNAIE 75001 Paris France;
TAKEN;PIERRE MOREL;2007-09-04;2007-09-04;EXTERIEUR;RUE;HENRI FEULARD;75019;RUE HENRI FEULARD 75019 Paris France;
TAKEN;PIERRE MOREL;2007-03-04;2007-03-04;EXTERIEUR;RUE;DE BRETONVILLIERS;75004;RUE DE BRETONVILLIERS 75004 Paris France;
TAKEN;PIERRE MOREL;2007-03-04;2007-03-04;EXTERIEUR;RUE;SAINT LOUIS EN L'ILE;75004;RUE SAINT LOUIS EN L'ILE 75004 Paris France;
WAITING IN BEIJING;ALAN ZHANG;2007-03-20;2007-03-20;EXTERIEUR;PONT;ALEXANDRE III;75008;PONT ALEXANDRE III 75008 Paris France;48.863669, 2.313547
WAITING IN BEIJING;ALAN ZHANG;2007-03-21;2007-03-21;EXTERIEUR;RUE;DE BIEVRE;75005;RUE DE BIEVRE 75005 Paris France;48.850529, 2.350215
WAITING IN BEIJING;ALAN ZHANG;2007-03-20;2007-03-20;EXTERIEUR;RUE;DU FAUBOURG SAINT HONORE;75001;RUE DU FAUBOURG SAINT HONORE 75001 Paris France;
WAITING IN BEIJING;ALAN ZHANG;2007-03-21;2007-03-21;EXTERIEUR;RUE;DES BERNARDINS;75005;RUE DES BERNARDINS 75005 Paris France;48.849638, 2.350347
FAUBOURG 36;CHRISTOPHE BARRATIER;2007-10-07;2007-10-07;EXTERIEUR;ESCALIERS;RUE DREVET;75018;ESCALIERS RUE DREVET 75018 Paris France;
FAUBOURG 36;CHRISTOPHE BARRATIER;2007-10-04;2007-04-16;EXTERIEUR;RUE;DU MONT CENIS/ESCALIERS;75018;RUE DU MONT CENIS/ESCALIERS 75018 Paris France;
FAUBOURG 36;CHRISTOPHE BARRATIER;2007-04-05;2007-05-05;EXTERIEUR;RUE;DU CHEVALIER DE LA BARRE;75018;RUE DU CHEVALIER DE LA BARRE 75018 Paris France;48.887546, 2.344538
FAUBOURG 36;CHRISTOPHE BARRATIER;2007-05-07;2007-05-07;EXTERIEUR;RUE;DU FAUBOURG SAINT MARTIN;75010;RUE DU FAUBOURG SAINT MARTIN 75010 Paris France;48.876831, 2.360984
FAUBOURG 36;CHRISTOPHE BARRATIER;2007-11-04;2007-11-04;EXTERIEUR;RUE;DES SAULES;75018;RUE DES SAULES 75018 Paris France;48.88918, 2.340011
FAUBOURG 36;CHRISTOPHE BARRATIER;2007-11-07;2007-11-07;EXTERIEUR;RUE;D'ORCHAMPT;75018;RUE D'ORCHAMPT 75018 Paris France;48.886911, 2.337061
FAUBOURG 36;CHRISTOPHE BARRATIER;2007-11-07;2007-11-07;EXTERIEUR;RUE;RAVIGNAN/RUE GABRIELLE;75018;RUE RAVIGNAN/RUE GABRIELLE 75018 Paris France;
FAUBOURG 36;CHRISTOPHE BARRATIER;2007-11-07;2007-11-07;EXTERIEUR;RUE;RAVIGNAN;75018;RUE RAVIGNAN 75018 Paris France;48.885697, 2.337984
PASSE-PASSE / (CHAPEAU DE ROUE);TONIE MARSHALL;2007-08-05;2007-08-05;EXTERIEUR;AVENUE;RENE COTY;75014;AVENUE RENE COTY 75014 Paris France;
UN SI BEAU VOYAGE;KHALED GHORBAL;2007-05-05;2007-05-05;EXTERIEUR;BERGES;DU QUAI D'ORLEANS;75004;BERGES DU QUAI D'ORLEANS 75004 Paris France;
UN SI BEAU VOYAGE;KHALED GHORBAL;2007-11-05;2007-11-05;EXTERIEUR;QUAI;DE BOURBON;75004;QUAI DE BOURBON 75004 Paris France;48.853023, 2.355285
UN SI BEAU VOYAGE;KHALED GHORBAL;2007-11-05;2007-11-05;EXTERIEUR;QUAI;D'ANJOU;75004;QUAI D'ANJOU 75004 Paris France;48.851915, 2.35861
L'INSTINCT DE MORT ET L'ENNEMI PUBLIC N°1;JEAN FRANCOIS RICHET;2007-08-15;2007-08-15;EXTERIEUR;PLACE;DE LA PORT;75018;PLACE DE LA PORT 75018 Paris France;
