titre;realisateur;date_debut_evenement;date_fin_evenement;cadre;lieu;adresse;arrondissement;adresse_complete;geo_coordinates
LE COLLIER DU MAKOKO/LE LION DE POUBARA;H. J. KOUMBA BIDIDI;2010-09-02;2010-09-02;EXTERIEUR;PLACE;DE L'ETOILE;75008;PLACE DE L'ETOILE 75008 Paris France;48.873757, 2.295909
THE TOURIST;F. VON DONNERSMARCK;2010-02-26;2010-02-26;EXTERIEUR;RUE;DE CHOISEUL;75002;RUE DE CHOISEUL 75002 Paris France;
THE TOURIST;F. VON DONNERSMARCK;2010-05-21;2010-05-21;EXTERIEUR;PLACE;DES VICTOIRES;75002;PLACE DES VICTOIRES 75002 Paris France;48.865915, 2.341197
THE TOURIST;F. VON DONNERSMARCK;2010-05-21;2010-05-21;EXTERIEUR;RUE;DU QUATRE SEPTEMBRE;75002;RUE DU QUATRE SEPTEMBRE 75002 Paris France;
THE TOURIST;F. VON DONNERSMARCK;2010-02-26;2010-02-26;EXTERIEUR;PLACE;BOÏELDIEU;75002;PLACE BOÏELDIEU 75002 Paris France;
ROSES A CREDIT;AMOS GITAÏ;2010-05-03;2010-05-03;EXTERIEUR;PONT;LOUIS PHILIPPE;75004;PONT LOUIS PHILIPPE 75004 Paris France;48.853754, 2.354315
MA PREMIERE FOIS;M.C MENTION SCHAAR;2010-07-15;2010-07-15;EXTERIEUR;RUE;DE L'AMIRAL DE COLIGNY;75001;RUE DE L'AMIRAL DE COLIGNY 75001 Paris France;48.859965, 2.340362
MA PREMIERE FOIS;M.C MENTION SCHAAR;2010-08-23;2010-08-23;EXTERIEUR;QUAI;D'ORLEANS;75004;QUAI D'ORLEANS 75004 Paris France;48.851629, 2.354153
IL RESTE DU JAMBON;ANNE DEPETRINI;2010-12-05;2010-12-05;EXTERIEUR;BOULEVARD;DES CAPUCINES;75009;BOULEVARD DES CAPUCINES 75009 Paris France;48.870442, 2.331035
IL RESTE DU JAMBON;ANNE DEPETRINI;2010-06-04;2010-06-04;EXTERIEUR;RUE;DE SEINE;75006;RUE DE SEINE 75006 Paris France;48.854513, 2.336874
IL RESTE DU JAMBON;ANNE DEPETRINI;2010-04-23;2010-04-23;EXTERIEUR;RUE;DE BERRI;75008;RUE DE BERRI 75008 Paris France;48.873257, 2.305636
IL RESTE DU JAMBON;ANNE DEPETRINI;2010-03-24;2010-03-24;EXTERIEUR;AVENUE;DELESSERT;75016;AVENUE DELESSERT 75016 Paris France;
IL RESTE DU JAMBON;ANNE DEPETRINI;2010-06-04;2010-06-04;EXTERIEUR;RUE;D'ASSAS;75006;RUE D'ASSAS 75006 Paris France;48.845518, 2.331754
IL RESTE DU JAMBON;ANNE DEPETRINI;2010-12-05;2010-12-05;EXTERIEUR;RUE;MEYERBEER;75009;RUE MEYERBEER 75009 Paris France;48.872041, 2.3331
LES FEMMES DU 6EME ETAGE;PHILIPPE LE GUAY;2010-07-05;2010-07-05;EXTERIEUR;AVENUE;ALPHONSE XIII;75015;AVENUE ALPHONSE XIII 75015 Paris France;
LES FEMMES DU 6EME ETAGE;PHILIPPE LE GUAY;2010-07-05;2010-07-05;EXTERIEUR;RUE;JEAN BOLOGNE;75015;RUE JEAN BOLOGNE 75015 Paris France;
LES FEMMES DU 6EME ETAGE;PHILIPPE LE GUAY;2010-12-04;2010-12-04;EXTERIEUR;AVENUE;DE MESSINE;75008;AVENUE DE MESSINE 75008 Paris France;48.876521, 2.31272
LES FEMMES DU 6EME ETAGE;PHILIPPE LE GUAY;2010-04-26;2010-04-30;EXTERIEUR;RUE;DU DOCTEUR LANCEREAUX;75008;RUE DU DOCTEUR LANCEREAUX 75008 Paris France;48.876055, 2.310371
LES FEMMES DU 6EME ETAGE;PHILIPPE LE GUAY;2010-06-05;2010-06-05;EXTERIEUR;PLACE;RODIN;75016;PLACE RODIN 75016 Paris France;48.853613, 2.271012
BLANCHE NUIT;FABRICE SEBILLE;2010-03-30;2010-03-30;EXTERIEUR;AVENUE;PARMENTIER;75011;AVENUE PARMENTIER 75011 Paris France;48.864882, 2.374877
LOVE AND BRUISES/FLEUR;LOU YE;2010-11-05;2010-11-05;EXTERIEUR;PLACE;MONGE;75005;PLACE MONGE 75005 Paris France;
LA BOITE NOIRE;BERRY RICHARD;2004-04-12;2004-04-12;EXTERIEUR;PLACE;D'IENA;75016;PLACE D'IENA 75016 Paris France;48.867013, 2.295524
LA BOITE NOIRE;BERRY RICHARD;2004-08-16;2004-08-16;EXTERIEUR;RUE;CAIL;75010;RUE CAIL 75010 Paris France;48.882783, 2.360458
LA BOITE NOIRE;BERRY RICHARD;2004-08-16;2004-08-16;EXTERIEUR;RUE;DE L'AQUEDUC;75010;RUE DE L'AQUEDUC 75010 Paris France;48.881913, 2.362867
LA BOITE NOIRE;BERRY RICHARD;2004-11-24;2004-11-24;EXTERIEUR;RUE;FERNAND BRAUDEL;75013;RUE FERNAND BRAUDEL 75013 Paris France;48.835631, 2.37298
GABRIELLE;CHEREAU PATRICK;2004-08-16;2004-08-16;EXTERIEUR;RUE;MURILLO;75008;RUE MURILLO 75008 Paris France;48.877866, 2.308308
LA MOUSTACHE;EMMANUEL CARRERE;2004-09-27;2004-09-28;EXTERIEUR;BOULEVARD;EMILE AUGIER;75016;BOULEVARD EMILE AUGIER 75016 Paris France;48.860262, 2.274047
LA MOUSTACHE;EMMANUEL CARRERE;2004-01-10;2004-01-10;EXTERIEUR;RUE;RENE BOULANGER;75010;RUE RENE BOULANGER 75010 Paris France;48.868379, 2.360862
TOKYO TOWER;TAKASHI NINAMOTO;2004-08-30;2004-08-30;EXTERIEUR;PONT;DES ARTS;75001;PONT DES ARTS 75001 Paris France;48.858795, 2.337747
TOKYO TOWER;TAKASHI NINAMOTO;2004-08-30;2004-08-30;EXTERIEUR;PONT;NEUF;75001;PONT NEUF 75001 Paris France;48.857347, 2.341531
LES PARRAINS;FREDERIC FORESTIER;2004-06-11;2004-06-11;EXTERIEUR;RUE;DE BRETAGNE;75003;RUE DE BRETAGNE 75003 Paris France;48.863247, 2.361856
LES PARRAINS;FREDERIC FORESTIER;2004-06-11;2004-06-11;EXTERIEUR;RUE;VIEILLE DU TEMPLE;75003;RUE VIEILLE DU TEMPLE 75003 Paris France;48.860209, 2.361252
LES PARRAINS;FREDERIC FORESTIER;2004-09-11;2004-10-11;EXTERIEUR;RUE;CLAUZEL;75009;RUE CLAUZEL 75009 Paris France;48.879158, 2.338442
LES PARRAINS;FREDERIC FORESTIER;2004-06-11;2004-06-11;EXTERIEUR;RUE;SAINTE CROIX DE LA BRETONNERIE;75004;RUE SAINTE CROIX DE LA BRETONNERIE 75004 Paris France;48.858364, 2.355642
UN COUPLE PARFAIT;NOBUHIRO SUWA;2004-09-15;2004-09-15;EXTERIEUR;PASSAGE;GEFFROY DIDELOT;75017;PASSAGE GEFFROY DIDELOT 75017 Paris France;48.881681, 2.317756
UN COUPLE PARFAIT;NOBUHIRO SUWA;2004-09-14;2004-09-14;EXTERIEUR;RUE;MYRHA;75018;RUE MYRHA 75018 Paris France;48.88699, 2.352573
MA VIE EN L'AIR;REMI BEZANCON;2004-10-22;2004-10-22;EXTERIEUR;RUE;CLAUDE LORRAIN;75016;RUE CLAUDE LORRAIN 75016 Paris France;48.841276, 2.260743
L'ENFER;DANIS TANOVIC;2004-11-29;2004-11-29;DOMAINE PUBLIC;CIMETIERE;DU MONTPARNASSE;75014;CIMETIERE DU MONTPARNASSE 75014 Paris France;48.83791, 2.327621
PARIS JE T'AIME;FREDERIC AUBURTIN;2005-08-25;2005-08-26;EXTERIEUR;PASSAGE;VIVIENNE;75002;PASSAGE VIVIENNE 75002 Paris France;48.868907, 2.340088
PARIS JE T'AIME;FREDERIC AUBURTIN;2005-09-09;2005-09-09;EXTERIEUR;PLACE;DES VOSGES;75004;PLACE DES VOSGES 75004 Paris France;48.85547, 2.366377
PARIS JE T'AIME;FREDERIC AUBURTIN;2005-07-18;2005-07-18;EXTERIEUR;PLACE;PIGALLE;75009;PLACE PIGALLE 75009 Paris France;48.882157, 2.337632
PARIS JE T'AIME;FREDERIC AUBURTIN;2005-08-11;2005-10-11;EXTERIEUR;RUE;BUFFON;75005;RUE BUFFON 75005 Paris France;48.842311, 2.360344
PARIS JE T'AIME;FREDERIC AUBURTIN;2005-11-22;2005-11-22;EXTERIEUR;RUE;D'ORCHAMPT;75018;RUE D'ORCHAMPT 75018 Paris France;48.886911, 2.337061
PARIS JE T'AIME;FREDERIC AUBURTIN;2005-08-22;2005-08-23;EXTERIEUR;RUE;G. DE CAILLAVET;75015;RUE G. DE CAILLAVET 75015 Paris France;48.849356, 2.283861
PARIS JE T'AIME;FREDERIC AUBURTIN;2005-09-09;2005-09-09;EXTERIEUR;RUE;VIEILLE DU TEMPLE;75004;RUE VIEILLE DU TEMPLE 75004 Paris France;48.859309, 2.359685
PARIS JE T'AIME;FREDERIC AUBURTIN;2005-09-09;2005-09-09;DOMAINE PUBLIC;SQUARE;LOUIS XIII;75004;SQUARE LOUIS XIII 75004 Paris France;48.855418, 2.355782
PRETE MOI TA MAIN/RENT A WIFE;ERIC LARTIGAU;2005-10-19;2005-10-19;EXTERIEUR;RUE;DE BIRAGUE;75004;RUE DE BIRAGUE 75004 Paris France;48.854135, 2.364939
PRETE MOI TA MAIN/RENT A WIFE;ERIC LARTIGAU;2005-10-18;2005-10-18;DOMAINE PUBLIC;SQUARE;LEOPOLD ACHILLE;75003;SQUARE LEOPOLD ACHILLE 75003 Paris France;48.85863, 2.362897
QUELQUES JOURS EN SEPTEMBRE;SANTIAGO AMIGORENA;2005-11-09;2005-11-09;EXTERIEUR;PLACE;DES PETITS PERES;75002;PLACE DES PETITS PERES 75002 Paris France;48.866469, 2.341039
LES ANGES EXTERMINATEURS;JEAN CLAUDE BRISSEAU;2005-09-27;2005-09-28;EXTERIEUR;RUE;FENELON;75010;RUE FENELON 75010 Paris France;48.87869, 2.351438
LES ANGES EXTERMINATEURS;JEAN CLAUDE BRISSEAU;2005-04-10;2005-04-10;DOMAINE PUBLIC;SQUARE;MONTHOLON;75009;SQUARE MONTHOLON 75009 Paris France;48.877109, 2.346712
LES ARISTOS;C. DE TURCKHEIM;2005-07-12;2005-07-12;EXTERIEUR;PARVIS;DU SACRE COEUR;75018;PARVIS DU SACRE COEUR 75018 Paris France;48.886183, 2.34312
LES ARISTOS;C. DE TURCKHEIM;2005-07-12;2005-07-12;EXTERIEUR;RUE;BEAUBOURG;75004;RUE BEAUBOURG 75004 Paris France;48.861443, 2.353579
TAKE THIS WALTZ;FLORENCE COLOMBANI;2005-08-09;2005-08-09;EXTERIEUR;RUE;SAINT ANTOINE;75004;RUE SAINT ANTOINE 75004 Paris France;48.854144, 2.364118
LES MURS PORT;CYRIL GELBLAT;2005-11-10;2005-11-10;EXTERIEUR;RUE;DES ECOUFFES;75004;RUE DES ECOUFFES 75004 Paris France;48.856696, 2.358491
EXES;MARTIN COGNITO;2005-09-24;2005-09-24;DOMAINE PUBLIC;BERGES;DU CANAL;93000;BERGES DU CANAL 93000 Paris France;48.856614, 2.352222
EXES;MARTIN COGNITO;2005-09-16;2005-09-16;EXTERIEUR;BOULEVARD;DE CLICHY;75009;BOULEVARD DE CLICHY 75009 Paris France;48.883321, 2.333763
EXES;MARTIN COGNITO;2005-09-15;2005-09-15;EXTERIEUR;IMPASSE;VILLA DE GUELMA;75009;IMPASSE VILLA DE GUELMA 75009 Paris France;48.882749, 2.336962
EXES;MARTIN COGNITO;2005-09-19;2005-09-19;EXTERIEUR;RUE;SAINT MARTIN;75004;RUE SAINT MARTIN 75004 Paris France;48.859176, 2.350345
EXES;MARTIN COGNITO;2005-09-19;2005-09-19;EXTERIEUR;RUE;ETIENNE MARCEL;75001;RUE ETIENNE MARCEL 75001 Paris France;48.86443, 2.346665
LE CONCILE DE PIERRE;GUILLAUME NICLOUX;2005-10-26;2005-10-26;EXTERIEUR;PLACE;DU MARECHAL DE LATTRE DE TASSIGNY;75016;PLACE DU MARECHAL DE LATTRE DE TASSIGNY 75016 Paris France;48.871149, 2.275291
LA FAUTE A FIDEL;JULIE GAVRAS;2005-07-10;2005-07-10;EXTERIEUR;AVENUE;DU PRESIDENT WILSON;75016;AVENUE DU PRESIDENT WILSON 75016 Paris France;48.865039, 2.295434
LA FAUTE A FIDEL;JULIE GAVRAS;2005-06-10;2005-06-10;EXTERIEUR;RUE;MARCADET;75018;RUE MARCADET 75018 Paris France;48.891295, 2.341549
LA FAUTE A FIDEL;JULIE GAVRAS;2005-11-15;2005-11-15;EXTERIEUR;RUE;WILHEM;75016;RUE WILHEM 75016 Paris France;48.846465, 2.270615
LA FAUTE A FIDEL;JULIE GAVRAS;2005-10-20;2005-10-20;EXTERIEUR;RUE;DE L'ANNONCIATION;75016;RUE DE L'ANNONCIATION 75016 Paris France;48.856677, 2.279289
LA FAUTE A FIDEL;JULIE GAVRAS;2005-04-10;2005-04-10;EXTERIEUR;RUE;DE L'EGALITE;75019;RUE DE L'EGALITE 75019 Paris France;48.880832, 2.394944
PARIS, JE T'AIME;D. THOMAS;2005-08-10;2005-08-10;EXTERIEUR;RUE;DECAMPS;75016;RUE DECAMPS 75016 Paris France;48.864439, 2.28088
ON NE DEVRAIT PAS EXISTER;HERVE PIERRE GUSTAVE;2005-10-15;2005-10-15;DOMAINE PUBLIC;JARDIN;DU TROCADERO;75016;JARDIN DU TROCADERO 75016 Paris France;48.862318, 2.287561
TRUANDS;F.SCHOENDOERFFER;2005-11-11;2005-11-11;EXTERIEUR;AVENUE;MONTAIGNE;75008;AVENUE MONTAIGNE 75008 Paris France;48.867539, 2.307055
TRUANDS;F.SCHOENDOERFFER;2005-11-16;2005-11-16;EXTERIEUR;PARVIS;DE LA TOUR MONTPARNASSE;75014;PARVIS DE LA TOUR MONTPARNASSE 75014 Paris France;48.853733, 2.348382
TRUANDS;F.SCHOENDOERFFER;2005-11-25;2005-11-25;EXTERIEUR;RUE;DE LA SANTE;75014;RUE DE LA SANTE 75014 Paris France;48.830928, 2.34113
TRUANDS;F.SCHOENDOERFFER;2005-10-27;2005-10-27;EXTERIEUR;RUE;D'ARTOIS;75008;RUE D'ARTOIS 75008 Paris France;48.873328, 2.307123
THE QUEEN;STEPHEN FREARS;2005-08-11;2005-09-11;EXTERIEUR;COURS;LA REINE;75008;COURS LA REINE 75008 Paris France;48.864827, 2.3142
THE QUEEN;STEPHEN FREARS;2005-09-11;2005-09-11;EXTERIEUR;PLACE;DE LA CONCORDE;75008;PLACE DE LA CONCORDE 75008 Paris France;48.865519, 2.321454
THE QUEEN;STEPHEN FREARS;2005-09-11;2005-09-11;EXTERIEUR;RUE;DE RIVOLI/R DE CASTIGLIONE (ANGLE);75001;RUE DE RIVOLI/R DE CASTIGLIONE (ANGLE) 75001 Paris France;48.86, 2.341111
THE QUEEN;STEPHEN FREARS;2005-09-11;2005-09-11;EXTERIEUR;RUE;ROUGET DE L'ISLE;75001;RUE ROUGET DE L'ISLE 75001 Paris France;48.866055, 2.326254
TRES BIEN MERCI;EMMANUELLE CUAU;2005-12-23;2005-12-23;EXTERIEUR;AVENUE;DE FRANCE/R GEORGES BALANCHINE (ANGLE);75013;AVENUE DE FRANCE/R GEORGES BALANCHINE (ANGLE) 75013 Paris France;48.832222, 2.355556
TRES BIEN MERCI;EMMANUELLE CUAU;2005-12-15;2005-12-15;EXTERIEUR;RUE;CROULEBARBE;75013;RUE CROULEBARBE 75013 Paris France;48.832618, 2.3509
CE QUE JE SAIS DE LOLA;JAVIER REBOLLO;2005-09-12;2005-10-12;EXTERIEUR;RUE;DE LA MARE;75020;RUE DE LA MARE 75020 Paris France;48.870902, 2.38973
CE QUE JE SAIS DE LOLA;JAVIER REBOLLO;2005-11-19;2005-11-19;EXTERIEUR;TERRAIN;DE PETANQUE;75017;TERRAIN DE PETANQUE 75017 Paris France;48.882244, 2.307839
ANDALUCIA;ALAIN GOMIS;2005-12-12;2005-12-12;EXTERIEUR;BOULEVARD;BONNE NOUVELLE;75009;BOULEVARD BONNE NOUVELLE 75009 Paris France;48.870826, 2.34777
ANDALUCIA;ALAIN GOMIS;2005-11-21;2005-11-25;EXTERIEUR;PLACE;DE LA REPUBLIQUE;75010;PLACE DE LA REPUBLIQUE 75010 Paris France;48.86803, 2.363761
ANDALUCIA;ALAIN GOMIS;2005-02-12;2005-02-12;EXTERIEUR;RUE;BOYER;75020;RUE BOYER 75020 Paris France;48.867872, 2.392478
ANDALUCIA;ALAIN GOMIS;2005-12-12;2005-12-12;EXTERIEUR;RUE;SAINT DENIS;75009;RUE SAINT DENIS 75009 Paris France;48.863625, 2.349987
ANDALUCIA;ALAIN GOMIS;2005-12-12;2005-12-12;EXTERIEUR;RUE;LE PELLETIER;75009;RUE LE PELLETIER 75009 Paris France;48.874689, 2.339342
MAUVAISE FOI;ROSCHDY ZEM;2006-10-01;2006-01-13;EXTERIEUR;BOULEVARD;DE BELLEVILLE;75011;BOULEVARD DE BELLEVILLE 75011 Paris France;48.869475, 2.379774
MAUVAISE FOI;ROSCHDY ZEM;2006-01-14;2006-01-14;EXTERIEUR;RUE;PIERRE BULLET;75010;RUE PIERRE BULLET 75010 Paris France;48.871441, 2.357835
MAUVAISE FOI;ROSCHDY ZEM;2006-01-30;2006-01-30;EXTERIEUR;RUE;DU CHATEAU D'EAU/R BOUCHARDON (ANGLE);75010;RUE DU CHATEAU D'EAU/R BOUCHARDON (ANGLE) 75010 Paris France;48.875508, 2.357853
MES COPINES;SYLVIE AYME;2005-08-12;2005-08-12;EXTERIEUR;BOULEVARD;DU TEMPLE;75003;BOULEVARD DU TEMPLE 75003 Paris France;48.864311, 2.366016
MES COPINES;SYLVIE AYME;2006-11-03;2006-11-03;EXTERIEUR;PONT;D'IENA/ANGLE DU QUAI BRANLY;75007;PONT D'IENA/ANGLE DU QUAI BRANLY 75007 Paris France;48.860709, 2.297512
MES COPINES;SYLVIE AYME;2005-05-12;2005-05-12;EXTERIEUR;PONT;SAINT LOUIS;75004;PONT SAINT LOUIS 75004 Paris France;48.852745, 2.352713
LE DIABLE S'HABILLE EN PRADA;DAVID FRANKEL;2005-12-15;2005-12-15;EXTERIEUR;PASSERELLE;DES ARTS;75001;PASSERELLE DES ARTS 75001 Paris France;48.858795, 2.337747
MON MEILLEUR AMI;PATRICE LECONTE;2006-06-03;2006-06-03;DOMAINE PUBLIC;EGLISE;NOTRE DAME D'AUTEUIL;75016;EGLISE NOTRE DAME D'AUTEUIL 75016 Paris France;48.847207, 2.269193
MON MEILLEUR AMI;PATRICE LECONTE;2006-01-26;2006-01-26;EXTERIEUR;PLACE;RAOUL DAUTRY;75015;PLACE RAOUL DAUTRY 75015 Paris France;48.841729, 2.320515
DANS PARIS;CHRISTOPHE HONORE;2006-05-01;2006-05-01;EXTERIEUR;PASSAGE;DES EAUX;75016;PASSAGE DES EAUX 75016 Paris France;48.856941, 2.285509
DANS PARIS;CHRISTOPHE HONORE;2006-02-01;2006-02-01;EXTERIEUR;RUE;DU CHERCHE MIDI;75006;RUE DU CHERCHE MIDI 75006 Paris France;48.848534, 2.324621
CHANGEMENT D'ADRESSE;EMMANUEL MOURET;2006-02-02;2006-02-02;EXTERIEUR;PARVIS;DU BOULEVARD DES BATIGNOLLES;75008;PARVIS DU BOULEVARD DES BATIGNOLLES 75008 Paris France;48.882364, 2.322324
CHANGEMENT D'ADRESSE;EMMANUEL MOURET;2006-01-19;2006-01-19;EXTERIEUR;PLACE;FERDINAND BRUNOT;75014;PLACE FERDINAND BRUNOT 75014 Paris France;48.832626, 2.327278
MADAME IRMA;DIDIER BOURDON;2006-02-27;2006-02-27;EXTERIEUR;PLACE;DU PERE CHAILLET;75011;PLACE DU PERE CHAILLET 75011 Paris France;48.85701, 2.379225
LES AMBITIEUX;CATHERINE CORSINI;2006-02-28;2006-02-28;EXTERIEUR;BOULEVARD;RASPAIL;75014;BOULEVARD RASPAIL 75014 Paris France;48.840591, 2.330121
LES AMBITIEUX;CATHERINE CORSINI;2006-02-21;2006-02-21;EXTERIEUR;RUE;DES VIGNOLES;75020;RUE DES VIGNOLES 75020 Paris France;48.854576, 2.400617
BELLE TOUJOURS;MANUEL DE OLIVEIRA;2006-02-20;2006-02-20;EXTERIEUR;AVENUE;DE L'OPERA;75002;AVENUE DE L'OPERA 75002 Paris France;48.867787, 2.33355
BELLE TOUJOURS;MANUEL DE OLIVEIRA;2006-02-20;2006-02-20;EXTERIEUR;BOULEVARD;DES CAPUCINES;75002;BOULEVARD DES CAPUCINES 75002 Paris France;48.870325, 2.331186
BELLE TOUJOURS;MANUEL DE OLIVEIRA;2006-02-20;2006-02-20;EXTERIEUR;RUE;MARIVAUX;75002;RUE MARIVAUX 75002 Paris France;48.870811, 2.337425
BELLE TOUJOURS;MANUEL DE OLIVEIRA;2006-02-13;2006-02-13;EXTERIEUR;RUE;FAVART;75002;RUE FAVART 75002 Paris France;48.870826, 2.338007
MA PLACE AU SOLEIL;ERIC DE MONTALIER;2006-05-04;2006-05-04;EXTERIEUR;BOULEVARD;DE CLICHY (ENTRE PIGALLE ET BLANCHE);75009;BOULEVARD DE CLICHY (ENTRE PIGALLE ET BLANCHE) 75009 Paris France;48.878281, 2.336967
JE CROIS QUE JE L'AIME/IRRESISTIBLE;PIERRE JOLIVET;2006-02-27;2006-02-27;EXTERIEUR;AVENUE;DE SUFFREN;75007;AVENUE DE SUFFREN 75007 Paris France;48.851551, 2.300291
JE CROIS QUE JE L'AIME/IRRESISTIBLE;PIERRE JOLIVET;2006-02-24;2006-02-24;EXTERIEUR;AVENUE;DE NEW YORK;75007;AVENUE DE NEW YORK 75007 Paris France;48.862497, 2.293952
JE CROIS QUE JE L'AIME/IRRESISTIBLE;PIERRE JOLIVET;2006-04-14;2006-04-14;EXTERIEUR;AVENUE;D'IENA;75016;AVENUE D'IENA 75016 Paris France;48.867013, 2.295524
JE CROIS QUE JE L'AIME/IRRESISTIBLE;PIERRE JOLIVET;2006-02-24;2006-02-24;EXTERIEUR;AVENUE;JOSEPH BOUVARD;75007;AVENUE JOSEPH BOUVARD 75007 Paris France;48.856455, 2.298176
JE CROIS QUE JE L'AIME/IRRESISTIBLE;PIERRE JOLIVET;2006-02-24;2006-02-24;EXTERIEUR;AVENUE;DE GRENELLE;75007;AVENUE DE GRENELLE 75007 Paris France;48.857802, 2.31639
JE CROIS QUE JE L'AIME/IRRESISTIBLE;PIERRE JOLIVET;2006-02-27;2006-02-27;EXTERIEUR;BOULEVARD;PASTEUR;75015;BOULEVARD PASTEUR 75015 Paris France;48.842041, 2.313547
JE CROIS QUE JE L'AIME/IRRESISTIBLE;PIERRE JOLIVET;2006-02-24;2006-02-24;EXTERIEUR;QUAI;BRANLY;75007;QUAI BRANLY 75007 Paris France;48.860709, 2.297512
JE CROIS QUE JE L'AIME/IRRESISTIBLE;PIERRE JOLIVET;2006-02-24;2006-02-24;EXTERIEUR;QUAI;D'ORSAY;75007;QUAI D'ORSAY 75007 Paris France;48.862618, 2.310791
JE CROIS QUE JE L'AIME/IRRESISTIBLE;PIERRE JOLIVET;2006-10-04;2006-11-04;EXTERIEUR;RUE;JEAN GIRAUDOUX;75016;RUE JEAN GIRAUDOUX 75016 Paris France;48.869444, 2.296664
JE CROIS QUE JE L'AIME/IRRESISTIBLE;PIERRE JOLIVET;2006-04-13;2006-04-14;EXTERIEUR;RUE;BOUVIER;75011;RUE BOUVIER 75011 Paris France;48.852109, 2.387756
OU AVAIS-JE LA TETE ?;NATHALIE DONNINI;2006-02-24;2006-02-24;EXTERIEUR;PLACE;VENDOME;75001;PLACE VENDOME 75001 Paris France;48.867447, 2.329434
ACTRICE;V. BRUNI-TEDESCHI;2006-06-03;2006-06-03;EXTERIEUR;RUE;JEAN DU BELLAY;75004;RUE JEAN DU BELLAY 75004 Paris France;48.85317, 2.353747
DANSE AVEC LUI;VALERIE GUIGNABODET;2006-03-22;2006-03-22;EXTERIEUR;BOULEVARD;ARAGO;75013;BOULEVARD ARAGO 75013 Paris France;48.834838, 2.342284
JE PENSE A VOUS;PASCAL BONITZER;2006-03-23;2006-03-24;DOMAINE PUBLIC;CIMETIERE;DE BAGNEUX;92200;CIMETIERE DE BAGNEUX 92200 Paris France;48.799388, 2.259861
NOS RETROUVAILLES;DAVID OELHOFFEN;2006-04-04;2006-04-04;EXTERIEUR;RUE;DE LA ROQUETTE;75011;RUE DE LA ROQUETTE 75011 Paris France;48.857154, 2.378916
AGENTS SECRETS;FREDERIC SCHOENDOERF;2003-12-03;2003-12-03;EXTERIEUR;PONT;DE L'ALMA;75007;PONT DE L'ALMA 75007 Paris France;48.863557, 2.3017
UNE VIE A T'ATTENDRE;THIERRY KLIFA;2003-03-28;2003-03-28;EXTERIEUR;PLACE;DE DUBLIN;75008;PLACE DE DUBLIN 75008 Paris France;48.728228, 2.359775
UNE VIE A T'ATTENDRE;THIERRY KLIFA;2003-05-20;2003-05-20;EXTERIEUR;RUE;FAIDHERBE;75011;RUE FAIDHERBE   75011 Paris France;48.852502, 2.38324
UNE VIE A T'ATTENDRE;THIERRY KLIFA;2003-03-21;2003-03-21;EXTERIEUR;RUE;CLAPEYRON;75008;RUE CLAPEYRON 75008 Paris France;48.881799, 2.323936
UNE VIE A T'ATTENDRE;THIERRY KLIFA;2003-09-04;2003-09-04;EXTERIEUR;RUE;FALGUIERE;75015;RUE FALGUIERE 75015 Paris France;48.840747, 2.313112
UNE VIE A T'ATTENDRE;THIERRY KLIFA;2003-12-05;2003-12-05;EXTERIEUR;RUE;DAVID D'ANGERS;75019;RUE DAVID D'ANGERS 75019 Paris France;48.882149, 2.392522
UNE VIE A T'ATTENDRE;THIERRY KLIFA;2003-08-04;2003-08-04;EXTERIEUR;RUE;FAIDHERBE;75011;RUE FAIDHERBE   75011 Paris France;48.852502, 2.38324
DANS LE ROUGE DU COUCHANT;EDGARDO COZARINSKY;2003-05-26;2003-05-26;EXTERIEUR;BOULEVARD;SAINT MICHEL;75005;BOULEVARD SAINT MICHEL   75005 Paris France;48.847022, 2.340688
DANS LE ROUGE DU COUCHANT;EDGARDO COZARINSKY;2003-03-24;2003-03-24;EXTERIEUR;RUE;BELIDOR;75017;RUE BELIDOR 75017 Paris France;48.880283, 2.28624
DANS LE ROUGE DU COUCHANT;EDGARDO COZARINSKY;2003-03-23;2003-03-23;EXTERIEUR;RUE;BEAUREGARD;75002;RUE BEAUREGARD 75002 Paris France;48.86929, 2.349667
DANS LE ROUGE DU COUCHANT;EDGARDO COZARINSKY;2003-01-06;2003-01-06;EXTERIEUR;RUE;CLERY;75002;RUE CLERY 75002 Paris France;48.868511, 2.347999
DANS LE ROUGE DU COUCHANT;EDGARDO COZARINSKY;2003-01-06;2003-01-06;EXTERIEUR;RUE;THOREL;75002;RUE THOREL 75002 Paris France;48.869693, 2.349
TOUT PEUT ARRIVER (SOMETHING'S GOTTA GIVE);NANCY MEYERS;2003-09-07;2003-09-07;EXTERIEUR;PARC;DE GESVRES;75004;PARC DE GESVRES 75004 Paris France;48.853428, 2.358279
TOUT PEUT ARRIVER (SOMETHING'S GOTTA GIVE);NANCY MEYERS;2003-03-07;2003-03-07;EXTERIEUR;PLACE;DES VOSGES;75004;PLACE DES VOSGES 75004 Paris France;48.85547, 2.366377
TOUT PEUT ARRIVER (SOMETHING'S GOTTA GIVE);NANCY MEYERS;2003-09-07;2003-09-07;EXTERIEUR;PONT;D'ARCOLE;75004;PONT D'ARCOLE 75004 Paris France;48.85546, 2.350547
TOUT PEUT ARRIVER (SOMETHING'S GOTTA GIVE);NANCY MEYERS;2003-08-07;2003-08-07;EXTERIEUR;PONT;D'ARCOLE;75004;PONT D'ARCOLE 75004 Paris France;48.85546, 2.350547
