route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
990533,100,"81","(CHATELET <-> PORTE DE SAINT-OUEN) - Aller",,3,,FFFFFF,000000
990534,100,"81","(CHATELET <-> PORTE DE SAINT-OUEN) - Retour",,3,,FFFFFF,000000
990251,100,"82","(LUXEMBOURG <-> HOPITAL AMERICAIN) - Aller",,3,,FFFFFF,000000
990252,100,"82","(LUXEMBOURG <-> HOPITAL AMERICAIN) - Retour",,3,,FFFFFF,000000
990283,100,"83","(FRIEDLAND - HAUSSMANN <-> PORTE D'IVRY) - Aller",,3,,FFFFFF,000000
990284,100,"83","(FRIEDLAND - HAUSSMANN <-> PORTE D'IVRY) - Retour",,3,,FFFFFF,000000
989937,100,"84","(PLACE DU PANTHEON <-> PORTE DE CHAMPERRET) - Aller",,3,,FFFFFF,000000
989938,100,"84","(PLACE DU PANTHEON <-> PORTE DE CHAMPERRET) - Retour",,3,,FFFFFF,000000
990619,100,"85","(LUXEMBOURG <-> MAIRIE DE SAINT-OUEN) - Aller",,3,,FFFFFF,000000
990620,100,"85","(LUXEMBOURG <-> MAIRIE DE SAINT-OUEN) - Retour",,3,,FFFFFF,000000
990621,100,"85","(HOTEL DE VILLE DE PARIS <-> MAIRIE DE SAINT-OUEN) - Aller",,3,,FFFFFF,000000
990622,100,"85","(HOTEL DE VILLE DE PARIS <-> MAIRIE DE SAINT-OUEN) - Retour",,3,,FFFFFF,000000
990155,100,"86","(SAINT-GERMAIN-DES-PRES <-> SAINT-MANDE - DEMI LUNE) - Aller",,3,,FFFFFF,000000
990156,100,"86","(SAINT-GERMAIN-DES-PRES <-> SAINT-MANDE - DEMI LUNE) - Retour",,3,,FFFFFF,000000
990253,100,"87","(CHAMP DE MARS <-> PORTE DE REUILLY) - Aller",,3,,FFFFFF,000000
990254,100,"87","(CHAMP DE MARS <-> PORTE DE REUILLY) - Retour",,3,,FFFFFF,000000
989907,100,"88","(MONTSOURIS-TOMBE ISSOIRE <-> HOPITAL EUROPEEN GEORGES POMPIDOU) - Aller",,3,,FFFFFF,000000
989908,100,"88","(MONTSOURIS-TOMBE ISSOIRE <-> HOPITAL EUROPEEN GEORGES POMPIDOU) - Retour",,3,,FFFFFF,000000
990145,100,"89","(PORTE DE FRANCE <-> GARE DE VANVES-MALAKOFF) - Aller",,3,,FFFFFF,000000
990146,100,"89","(PORTE DE FRANCE <-> GARE DE VANVES-MALAKOFF) - Retour",,3,,FFFFFF,000000
989919,100,"91","(MONTPARNASSE 2 - GARE TGV <-> BASTILLE) - Aller",,3,,FFFFFF,000000
989920,100,"91","(MONTPARNASSE 2 - GARE TGV <-> BASTILLE) - Retour",,3,,FFFFFF,000000
990255,100,"92","(GARE MONTPARNASSE <-> PORTE DE CHAMPERRET) - Aller",,3,,FFFFFF,000000
